210SCB1 19FY|1484|1955|0|
210SCB1 19FZ|1495|1963|0|
210SCB1 20FW|1507|1971|0|
210SCB1 20FX|1518|1979|0|
210SCB1 20FY|1529|1987|0|
210SCB1 20FZ|1540|1995|0|
210SCBA 02AB|1552|2003|0|
210SCBA 02AL|1574|2020|0|
210SCBA 02AM|1596|2037|0|
210SCBA 02AW|1618|2054|0|
210SCBA 02AX|1640|2071|0|
210SCBA 02AY|1662|2088|0|
210SCBA 02AZ|1684|2105|0|
210SCBA 03AB|1706|2122|0|
210SCBA 03AL|1728|2139|0|
210SCBA 03AM|1750|2156|0|
210SCBA 03AW|1772|2173|0|
210SCBA 03AX|1794|2190|0|
210SCBA 03AY|1816|2207|0|
210SCBA 03AZ|1838|2224|0|
210SCBA 04AB|1860|2241|0|
210SCBA 04AL|1882|2258|0|
210SCBA 04AM|1904|2275|0|
210SCBA 04AW|1926|2292|0|
210SCBA 04AX|1948|2309|0|
210SCBA 04AY|1970|2326|0|
210SCBA 04AZ|1992|2343|0|
210SCBA 05AB|2014|2360|0|
210SCBA 05AK|2036|2377|0|
210SCBA 05AL|2058|2394|0|
210SCBA 05AM|2080|2411|0|
210SCBA 05AW|2102|2428|0|
210SCBA 05AX|2124|2445|0|
210SCBA 05AY|2146|2462|0|
210SCBA 05AZ|2168|2479|0|
210SCBA 06AB|2190|2496|0|
210SCBA 06AL|2212|2513|0|
210SCBA 06AM|2234|2530|0|
210SCBA 06AW|2256|2547|0|
210SCBA 06AX|2278|2564|0|
210SCBA 06AY|2300|2581|0|
210SCBA 06AZ|2322|2598|0|
210SCBB 00AB|2344|2615|0|
210SCBB 00AC|2355|2623|0|
210SCBB 00AL|2366|2631|0|
210SCBB 00AM|2378|2639|0|
210SCBB 02AB|2389|2647|0|
210SCBB 02AC|2399|2655|0|
210SCBB 02AL|2409|2663|0|
210SCBB 02AM|2419|2671|0|
210SCBB 03AB|2429|2679|0|
210SCBB 03AC|2439|2687|0|
210SCBB 03AL|2449|2695|0|
210SCBB 03AM|2459|2703|0|
210SCBB 04AB|2469|2711|0|
210SCBB 04AC|2479|2719|0|
210SCBB 04AL|2489|2727|0|
210SCBB 04AM|2499|2735|0|
210SCBB 05AB|2509|2743|0|
210SCBB 05AC|2519|2751|0|
210SCBB 05AL|2529|2759|0|
210SCBB 05AM|2539|2767|0|
210SCBB 06AA|2549|2775|0|
210SCBB 06AF|2559|2783|0|
210SCBB 06AG|2569|2791|0|
210SCBB 06AK|2579|2799|0|
210SCBB 06AS|2589|2807|0|
210SCBB 07AA|2599|2815|0|
210SCBB 07AF|2609|2823|0|
210SCBB 07AG|2619|2831|0|
210SCBB 07AK|2629|2839|0|
210SCBB 07AS|2639|2847|0|
210SCBB 08AA|2649|2855|0|
210SCBB 08AF|2659|2863|0|
210SCBB 08AG|2669|2871|0|
210SCBB 08AK|2679|2879|0|
210SCBB 08AS|2689|2887|0|
210SCBB 09AA|2699|2895|0|
210SCBB 09AF|2709|2903|0|
210SCBB 09AG|2719|2911|0|
210SCBB 09AK|2729|2919|0|
210SCBB 09AS|2739|2927|0|
210SCBB 10AB|2749|2935|0|
210SCBB 10AC|2759|2943|0|
210SCBB 10AL|2769|2951|0|
210SCBB 10AM|2779|2959|0|
210SCBB 11AB|2789|2967|0|
210SCBB 11AC|2799|2975|0|
210SCBB 11AL|2809|2983|0|
210SCBB 11AM|2819|2991|0|
210SCBB 12AB|2829|2999|0|
210SCBB 12AC|2839|3007|0|
210SCBB 12AL|2849|3015|0|
210SCBB 12AM|2859|3023|0|
210SCBB 13AB|2869|3031|0|
210SCBB 13AC|2879|3039|0|
